id,account_id,instrument_symbol,side,quantity,price,filled_at,order_id,liquidity,commission_usd
FIL-500024,ACC-1013,MNQ,BUY,2,19699.75,2026-08-21T01:57:42Z,ORD-900147,taker,1.40
FIL-500025,ACC-1015,MES,BUY,4,5610.50,2026-08-21T02:01:47Z,ORD-900167,taker,2.80
FIL-500026,ACC-1015,MES,SELL,2,5610.50,2026-08-21T02:04:19Z,ORD-900151,taker,1.40
FIL-500027,ACC-1015,MES,SELL,2,5610.50,2026-08-21T02:04:21Z,ORD-900151,taker,1.40
FIL-500028,ACC-1015,MES,SELL,4,5610.75,2026-08-21T02:04:47Z,ORD-900168,maker,2.80
FIL-500029,ACC-1017,MCL,BUY,3,73.48,2026-08-21T02:08:17Z,ORD-900209,taker,2.10
FIL-500030,ACC-1017,MCL,BUY,3,73.48,2026-08-21T02:08:21Z,ORD-900209,taker,2.10
FIL-500031,ACC-1009,GC,SELL,2,2478.20,2026-08-21T02:12:53Z,ORD-900115,taker,4.20
FIL-500032,ACC-1017,MCL,SELL,6,73.46,2026-08-21T02:16:17Z,ORD-900210,taker,4.20
FIL-500033,ACC-1009,GC,BUY,2,2478.80,2026-08-21T02:17:53Z,ORD-900116,taker,4.20
FIL-500034,ACC-1015,MNQ,SELL,5,19698.00,2026-08-21T02:32:23Z,ORD-900169,taker,3.50
FIL-500035,ACC-1006,ES,BUY,3,5610.75,2026-08-21T02:34:37Z,ORD-900075,taker,6.30
FIL-500036,ACC-1005,MCL,BUY,10,73.36,2026-08-21T02:36:01Z,ORD-900063,taker,7.00
FIL-500037,ACC-1004,MES,SELL,3,5609.75,2026-08-21T02:38:31Z,ORD-900051,maker,2.10
FIL-500038,ACC-1013,MNQ,SELL,2,19701.00,2026-08-21T02:40:42Z,ORD-900148,maker,1.40
FIL-500039,ACC-1009,GC,BUY,1,2478.20,2026-08-21T02:46:33Z,ORD-900119,taker,2.10
FIL-500040,ACC-1003,NQ,BUY,4,19701.50,2026-08-21T02:50:07Z,ORD-900031,taker,8.40
FIL-500041,ACC-1005,MCL,SELL,4,73.46,2026-08-21T02:50:09Z,ORD-900065,taker,2.80
FIL-500042,ACC-1015,MES,BUY,4,5608.50,2026-08-21T02:54:19Z,ORD-900152,taker,2.80
FIL-500043,ACC-1011,MES,SELL,2,5608.75,2026-08-21T02:55:21Z,ORD-900131,maker,1.40
FIL-500044,ACC-1011,MES,SELL,2,5608.75,2026-08-21T02:55:25Z,ORD-900131,taker,1.40
FIL-500045,ACC-1006,MES,SELL,8,5609.25,2026-08-21T02:58:51Z,ORD-900081,taker,5.60
FIL-500046,ACC-1007,MES,BUY,2,5610.50,2026-08-21T03:08:55Z,ORD-900099,taker,1.40
FIL-500047,ACC-1007,MES,BUY,3,5610.50,2026-08-21T03:08:56Z,ORD-900099,taker,2.10
FIL-500048,ACC-1004,MES,BUY,3,5609.25,2026-08-21T03:10:31Z,ORD-900052,taker,2.10
FIL-500049,ACC-1011,MES,SELL,8,5609.50,2026-08-21T03:12:57Z,ORD-900137,taker,5.60
FIL-500050,ACC-1005,MCL,SELL,2,73.42,2026-08-21T03:13:58Z,ORD-900061,maker,1.40
FIL-500051,ACC-1006,ES,SELL,3,5612.75,2026-08-21T03:14:37Z,ORD-900076,taker,6.30
FIL-500052,ACC-1006,MES,BUY,8,5610.25,2026-08-21T03:14:51Z,ORD-900082,taker,5.60
FIL-500053,ACC-1006,ES,BUY,2,5608.75,2026-08-21T03:18:55Z,ORD-900071,taker,4.20
FIL-500054,ACC-1015,MNQ,BUY,5,19697.25,2026-08-21T03:22:23Z,ORD-900170,maker,3.50
FIL-500055,ACC-1005,MCL,SELL,10,73.37,2026-08-21T03:25:01Z,ORD-900064,taker,7.00
FIL-500056,ACC-1003,NQ,SELL,4,19702.00,2026-08-21T03:25:07Z,ORD-900032,maker,8.40
FIL-500057,ACC-1006,ES,BUY,1,5608.75,2026-08-21T03:27:28Z,ORD-900087,taker,2.10
FIL-500058,ACC-1011,MES,BUY,4,5607.50,2026-08-21T03:29:21Z,ORD-900132,taker,2.80
FIL-500059,ACC-1011,MCL,BUY,5,73.41,2026-08-21T03:29:57Z,ORD-900139,taker,3.50
FIL-500060,ACC-1009,GC,SELL,1,2477.60,2026-08-21T03:36:33Z,ORD-900120,maker,2.10
FIL-500061,ACC-1011,MES,BUY,6,5611.25,2026-08-21T03:37:43Z,ORD-900135,taker,4.20
FIL-500062,ACC-1017,MCL,SELL,2,73.32,2026-08-21T03:38:30Z,ORD-900211,maker,1.40
FIL-500063,ACC-1017,MCL,SELL,3,73.32,2026-08-21T03:38:31Z,ORD-900211,maker,2.10
FIL-500064,ACC-1005,MCL,BUY,4,73.41,2026-08-21T03:39:09Z,ORD-900066,taker,2.80
FIL-500065,ACC-1006,MES,BUY,2,5606.25,2026-08-21T03:43:41Z,ORD-900077,taker,1.40
FIL-500066,ACC-1006,MES,BUY,2,5606.25,2026-08-21T03:43:42Z,ORD-900077,taker,1.40
FIL-500067,ACC-1006,ES,SELL,2,5607.75,2026-08-21T03:44:55Z,ORD-900072,taker,4.20
FIL-500068,ACC-1007,MES,SELL,5,5609.50,2026-08-21T03:47:55Z,ORD-900100,taker,3.50
FIL-500069,ACC-1006,MES,SELL,4,5606.75,2026-08-21T03:51:41Z,ORD-900078,maker,2.80
FIL-500070,ACC-1017,MCL,BUY,10,73.39,2026-08-21T03:52:58Z,ORD-900205,maker,7.00
FIL-500071,ACC-1011,MES,BUY,8,5607.50,2026-08-21T03:53:57Z,ORD-900138,maker,5.60
FIL-500072,ACC-1013,MNQ,BUY,2,19701.50,2026-08-21T03:59:34Z,ORD-900143,maker,1.40
FIL-500073,ACC-1005,MCL,BUY,2,73.46,2026-08-21T04:01:58Z,ORD-900062,taker,1.40
FIL-500074,ACC-1017,MCL,SELL,10,73.41,2026-08-21T04:03:58Z,ORD-900206,maker,7.00
FIL-500075,ACC-1017,MCL,BUY,5,73.34,2026-08-21T04:06:30Z,ORD-900212,maker,3.50
FIL-500076,ACC-1006,ES,SELL,1,5607.25,2026-08-21T04:09:28Z,ORD-900088,maker,2.10
FIL-500077,ACC-1009,GC,SELL,1,2478.40,2026-08-21T04:14:54Z,ORD-900113,maker,2.10
FIL-500078,ACC-1011,MES,SELL,6,5611.00,2026-08-21T04:22:43Z,ORD-900136,taker,4.20
FIL-500079,ACC-1018,MNQ,SELL,2,19700.00,2026-08-21T04:24:32Z,ORD-900225,taker,1.40
FIL-500080,ACC-1018,MNQ,SELL,2,19700.00,2026-08-21T04:24:34Z,ORD-900225,maker,1.40
FIL-500081,ACC-1011,MCL,SELL,5,73.42,2026-08-21T04:24:57Z,ORD-900140,maker,3.50
FIL-500082,ACC-1013,MNQ,SELL,2,19701.00,2026-08-21T04:27:34Z,ORD-900144,taker,1.40
FIL-500083,ACC-1009,GC,BUY,1,2477.60,2026-08-21T04:35:37Z,ORD-900117,taker,2.10
FIL-500084,ACC-1009,GC,BUY,1,2478.50,2026-08-21T04:35:54Z,ORD-900114,maker,2.10
FIL-500085,ACC-1002,MES,BUY,2,5611.75,2026-08-21T04:41:04Z,ORD-900021,taker,1.40
FIL-500086,ACC-1011,MES,SELL,5,5610.50,2026-08-21T04:54:14Z,ORD-900141,taker,3.50
FIL-500087,ACC-1011,MES,SELL,5,5610.50,2026-08-21T04:54:18Z,ORD-900141,taker,3.50
FIL-500088,ACC-1002,MES,SELL,2,5610.25,2026-08-21T04:58:04Z,ORD-900022,maker,1.40
FIL-500089,ACC-1018,MNQ,BUY,4,19698.75,2026-08-21T04:58:32Z,ORD-900226,maker,2.80
FIL-500090,ACC-1011,MES,BUY,10,5609.25,2026-08-21T05:05:14Z,ORD-900142,maker,7.00
FIL-500091,ACC-1009,GC,SELL,1,2477.80,2026-08-21T05:08:37Z,ORD-900118,taker,2.10
FIL-500092,ACC-1015,MES,SELL,5,5609.75,2026-08-21T05:48:15Z,ORD-900191,maker,3.50
FIL-500093,ACC-1015,MES,BUY,6,5610.00,2026-08-21T05:50:25Z,ORD-900165,taker,4.20
FIL-500094,ACC-1015,MES,BUY,5,5610.50,2026-08-21T05:51:15Z,ORD-900192,maker,3.50
FIL-500095,ACC-1013,MNQ,BUY,5,19700.50,2026-08-21T06:16:41Z,ORD-900145,maker,3.50
FIL-500096,ACC-1004,MES,BUY,6,5608.25,2026-08-21T06:38:29Z,ORD-900053,taker,4.20
FIL-500097,ACC-1013,MNQ,SELL,5,19701.75,2026-08-21T06:38:41Z,ORD-900146,maker,3.50
FIL-500098,ACC-1001,MCL,BUY,10,73.42,2026-08-21T06:41:27Z,ORD-900011,taker,7.00
FIL-500099,ACC-1012,MES,SELL,4,5609.25,2026-08-21T06:41:54Z,ORD-900457,taker,2.80
FIL-500100,ACC-1017,MCL,BUY,2,73.38,2026-08-21T06:42:29Z,ORD-900221,taker,1.40
FIL-500101,ACC-1017,MCL,BUY,2,73.38,2026-08-21T06:42:31Z,ORD-900221,maker,1.40
FIL-500102,ACC-1004,MES,BUY,3,5609.75,2026-08-21T06:45:04Z,ORD-900057,maker,2.10
FIL-500103,ACC-1015,MES,SELL,6,5610.25,2026-08-21T06:45:25Z,ORD-900166,maker,4.20
FIL-500104,ACC-1006,MES,BUY,5,5609.75,2026-08-21T06:51:07Z,ORD-900069,maker,3.50
FIL-500105,ACC-1015,MES,BUY,2,5610.50,2026-08-21T06:52:15Z,ORD-900181,taker,1.40
FIL-500106,ACC-1011,MCL,SELL,6,73.35,2026-08-21T06:55:01Z,ORD-900133,taker,4.20
FIL-500107,ACC-1003,MNQ,SELL,3,19700.50,2026-08-21T07:01:06Z,ORD-900029,maker,2.10
FIL-500108,ACC-1012,MES,BUY,4,5608.25,2026-08-21T07:02:54Z,ORD-900458,maker,2.80
FIL-500109,ACC-1017,MCL,SELL,4,73.37,2026-08-21T07:03:29Z,ORD-900222,maker,2.80
FIL-500110,ACC-1003,MNQ,BUY,6,19700.25,2026-08-21T07:12:15Z,ORD-900035,taker,4.20
FIL-500111,ACC-1001,MCL,SELL,10,73.41,2026-08-21T07:15:27Z,ORD-900012,taker,7.00
FIL-500112,ACC-1015,MES,SELL,3,5610.75,2026-08-21T07:16:09Z,ORD-900149,taker,2.10
FIL-500113,ACC-1004,MES,SELL,6,5608.75,2026-08-21T07:17:29Z,ORD-900054,maker,4.20
FIL-500114,ACC-1004,MES,SELL,3,5608.75,2026-08-21T07:19:04Z,ORD-900058,taker,2.10
FIL-500115,ACC-1011,MCL,BUY,6,73.37,2026-08-21T07:30:01Z,ORD-900134,taker,4.20
FIL-500116,ACC-1006,MES,SELL,5,5611.00,2026-08-21T07:31:07Z,ORD-900070,taker,3.50
FIL-500117,ACC-1015,MES,SELL,2,5609.00,2026-08-21T07:35:15Z,ORD-900182,maker,1.40
FIL-500118,ACC-1015,MES,BUY,3,5610.00,2026-08-21T07:38:09Z,ORD-900150,taker,2.10
FIL-500119,ACC-1003,NQ,BUY,2,19700.25,2026-08-21T07:39:19Z,ORD-900037,taker,4.20
FIL-500120,ACC-1003,NQ,BUY,2,19700.25,2026-08-21T07:39:22Z,ORD-900037,taker,4.20
FIL-500121,ACC-1003,MNQ,BUY,3,19700.25,2026-08-21T07:43:06Z,ORD-900030,taker,2.10
FIL-500122,ACC-1006,ES,SELL,3,5610.50,2026-08-21T07:54:03Z,ORD-900089,maker,6.30
FIL-500123,ACC-1003,MNQ,SELL,6,19699.25,2026-08-21T07:54:15Z,ORD-900036,taker,4.20
FIL-500124,ACC-1003,NQ,SELL,4,19699.25,2026-08-21T07:54:19Z,ORD-900038,taker,8.40
FIL-500125,ACC-1018,MNQ,SELL,5,19700.75,2026-08-21T07:56:58Z,ORD-900223,taker,3.50
FIL-500126,ACC-1001,MES,BUY,3,5611.50,2026-08-21T08:03:50Z,ORD-900009,maker,2.10
FIL-500127,ACC-1016,MES,BUY,10,5609.25,2026-08-21T08:15:58Z,ORD-900201,maker,7.00
FIL-500128,ACC-1007,MES,BUY,3,5611.25,2026-08-21T08:17:21Z,ORD-900097,taker,2.10
FIL-500129,ACC-1016,MES,SELL,10,5609.50,2026-08-21T08:23:58Z,ORD-900202,maker,7.00
FIL-500130,ACC-1015,MES,SELL,4,5609.75,2026-08-21T08:31:06Z,ORD-900187,taker,2.80
FIL-500131,ACC-1015,MES,SELL,4,5609.75,2026-08-21T08:31:07Z,ORD-900187,taker,2.80
FIL-500132,ACC-1006,ES,BUY,3,5609.25,2026-08-21T08:35:03Z,ORD-900090,maker,6.30
FIL-500133,ACC-1006,ES,SELL,1,5609.75,2026-08-21T08:38:06Z,ORD-900079,maker,2.10
FIL-500134,ACC-1003,MNQ,BUY,2,19699.00,2026-08-21T08:50:30Z,ORD-900027,taker,1.40
FIL-500135,ACC-1018,MNQ,BUY,5,19701.50,2026-08-21T08:51:58Z,ORD-900224,taker,3.50
FIL-500136,ACC-1001,MES,SELL,3,5610.00,2026-08-21T08:58:50Z,ORD-900010,maker,2.10
FIL-500137,ACC-1007,MES,SELL,3,5612.00,2026-08-21T09:05:21Z,ORD-900098,taker,2.10
FIL-500138,ACC-1015,MES,BUY,8,5608.50,2026-08-21T09:06:06Z,ORD-900188,taker,5.60
FIL-500139,ACC-1015,MES,BUY,5,5610.50,2026-08-21T09:16:15Z,ORD-900171,maker,3.50
FIL-500140,ACC-1015,MES,SELL,6,5610.75,2026-08-21T09:18:34Z,ORD-900173,taker,4.20
FIL-500141,ACC-1006,MES,BUY,3,5609.00,2026-08-21T09:20:05Z,ORD-900091,maker,2.10
FIL-500142,ACC-1015,MES,SELL,5,5611.25,2026-08-21T09:25:15Z,ORD-900172,maker,3.50
FIL-500143,ACC-1006,ES,BUY,1,5608.75,2026-08-21T09:28:06Z,ORD-900080,maker,2.10
FIL-500144,ACC-1015,MES,BUY,6,5611.50,2026-08-21T09:28:34Z,ORD-900174,taker,4.20
FIL-500145,ACC-1015,MES,BUY,2,5609.00,2026-08-21T09:31:07Z,ORD-900175,taker,1.40
FIL-500146,ACC-1016,MES,BUY,10,5610.75,2026-08-21T09:33:54Z,ORD-900203,taker,7.00
FIL-500147,ACC-1007,MES,SELL,8,5608.50,2026-08-21T09:36:55Z,ORD-900095,taker,5.60
FIL-500148,ACC-1003,MNQ,SELL,2,19700.00,2026-08-21T09:39:30Z,ORD-900028,taker,1.40
FIL-500149,ACC-1006,MES,SELL,3,5610.00,2026-08-21T09:45:05Z,ORD-900092,maker,2.10
FIL-500150,ACC-1012,MES,BUY,4,5611.00,2026-08-21T09:46:16Z,ORD-900467,maker,2.80
FIL-500151,ACC-1015,MNQ,BUY,2,19699.50,2026-08-21T09:47:22Z,ORD-900183,maker,1.40
FIL-500152,ACC-1016,MES,SELL,10,5612.00,2026-08-21T09:50:54Z,ORD-900204,taker,7.00
FIL-500153,ACC-1015,MNQ,SELL,2,19701.50,2026-08-21T09:51:22Z,ORD-900184,taker,1.40
FIL-500154,ACC-1007,MES,BUY,8,5609.00,2026-08-21T09:57:55Z,ORD-900096,taker,5.60
FIL-500155,ACC-1009,GC,BUY,3,2477.80,2026-08-21T10:01:52Z,ORD-900121,taker,6.30
FIL-500156,ACC-1008,6E,BUY,4,1.103,2026-08-21T10:04:18Z,ORD-900103,taker,9.92
FIL-500157,ACC-1015,MES,SELL,2,5608.50,2026-08-21T10:05:07Z,ORD-900176,taker,1.40
FIL-500158,ACC-1012,MES,SELL,4,5611.50,2026-08-21T10:08:16Z,ORD-900468,taker,2.80
FIL-500159,ACC-1002,MES,BUY,5,5610.75,2026-08-21T10:11:27Z,ORD-900017,taker,3.50
FIL-500160,ACC-1009,GC,SELL,3,2478.30,2026-08-21T10:25:52Z,ORD-900122,maker,6.30
FIL-500161,ACC-1002,MES,SELL,5,5611.00,2026-08-21T10:28:27Z,ORD-900018,taker,3.50
FIL-500162,ACC-1005,MCL,SELL,3,73.36,2026-08-21T10:39:30Z,ORD-900067,taker,2.10
FIL-500163,ACC-1005,MCL,BUY,3,73.39,2026-08-21T10:46:30Z,ORD-900068,maker,2.10
FIL-500164,ACC-1015,MES,BUY,3,5610.50,2026-08-21T10:51:12Z,ORD-900161,maker,2.10
FIL-500165,ACC-1008,6E,SELL,4,1.10295,2026-08-21T10:58:18Z,ORD-900104,taker,9.92
FIL-500166,ACC-1008,6E,BUY,1,1.1033,2026-08-21T10:59:51Z,ORD-900101,taker,2.48
FIL-500167,ACC-1008,6E,SELL,1,1.10355,2026-08-21T11:07:51Z,ORD-900102,taker,2.48
FIL-500168,ACC-1015,MES,SELL,3,5610.25,2026-08-21T11:11:12Z,ORD-900162,taker,2.10
FIL-500169,ACC-1001,MES,BUY,10,5609.25,2026-08-21T11:30:35Z,ORD-900007,taker,7.00
FIL-500170,ACC-1017,MCL,BUY,3,73.39,2026-08-21T11:31:23Z,ORD-900215,taker,2.10
FIL-500171,ACC-1002,MES,SELL,2,5610.00,2026-08-21T11:36:30Z,ORD-900023,taker,1.40
FIL-500172,ACC-1001,MES,SELL,10,5610.00,2026-08-21T11:55:35Z,ORD-900008,taker,7.00
FIL-500173,ACC-1015,MES,SELL,3,5612.25,2026-08-21T12:05:55Z,ORD-900189,maker,2.10
FIL-500174,ACC-1017,MCL,SELL,3,73.38,2026-08-21T12:06:23Z,ORD-900216,taker,2.10
FIL-500175,ACC-1008,6E,SELL,2,1.10335,2026-08-21T12:06:51Z,ORD-900107,taker,4.96
FIL-500176,ACC-1001,MCL,BUY,3,73.40,2026-08-21T12:12:40Z,ORD-900013,maker,2.10
FIL-500177,ACC-1015,MES,BUY,3,5613.25,2026-08-21T12:17:55Z,ORD-900190,maker,2.10
FIL-500178,ACC-1002,MES,BUY,2,5610.75,2026-08-21T12:23:30Z,ORD-900024,maker,1.40
FIL-500179,ACC-1008,6E,BUY,2,1.10365,2026-08-21T12:24:51Z,ORD-900108,taker,4.96
FIL-500180,ACC-1015,MES,BUY,5,5608.50,2026-08-21T12:37:19Z,ORD-900157,taker,3.50
FIL-500181,ACC-1001,MCL,SELL,3,73.44,2026-08-21T12:37:40Z,ORD-900014,taker,2.10
FIL-500182,ACC-1003,NQ,SELL,2,19700.75,2026-08-21T12:56:07Z,ORD-900043,maker,4.20
FIL-500183,ACC-1003,NQ,BUY,2,19700.25,2026-08-21T13:03:07Z,ORD-900044,maker,4.20
FIL-500184,ACC-1003,MNQ,BUY,2,19701.00,2026-08-21T13:11:34Z,ORD-900041,taker,1.40
FIL-500185,ACC-1015,MES,SELL,5,5609.50,2026-08-21T13:17:19Z,ORD-900158,maker,3.50
FIL-500186,ACC-1016,MES,BUY,2,5608.75,2026-08-21T13:22:54Z,ORD-900193,taker,1.40
FIL-500187,ACC-1016,MES,SELL,10,5612.00,2026-08-21T13:30:08Z,ORD-900197,taker,7.00
FIL-500188,ACC-1015,MNQ,BUY,4,19699.25,2026-08-21T13:33:03Z,ORD-900163,maker,2.80
FIL-500189,ACC-1016,MES,BUY,10,5610.75,2026-08-21T13:38:08Z,ORD-900198,taker,7.00
FIL-500190,ACC-1003,MNQ,SELL,2,19700.50,2026-08-21T13:42:34Z,ORD-900042,maker,1.40
FIL-500191,ACC-1015,MNQ,SELL,4,19700.25,2026-08-21T14:00:03Z,ORD-900164,taker,2.80
FIL-500192,ACC-1012,MES,BUY,3,5610.75,2026-08-21T14:01:20Z,ORD-900461,taker,2.10
FIL-500193,ACC-1001,MES,BUY,5,5610.25,2026-08-21T14:04:24Z,ORD-900003,maker,3.50
FIL-500194,ACC-1001,MES,BUY,5,5610.25,2026-08-21T14:04:25Z,ORD-900003,taker,3.50
FIL-500195,ACC-1016,MES,BUY,5,5611.00,2026-08-21T14:11:54Z,ORD-900199,maker,3.50
FIL-500196,ACC-1007,MES,BUY,3,5609.75,2026-08-21T14:13:23Z,ORD-900093,taker,2.10
FIL-500197,ACC-1009,GC,SELL,4,2478.20,2026-08-21T14:15:32Z,ORD-900125,taker,8.40
FIL-500198,ACC-1016,MES,SELL,2,5609.25,2026-08-21T14:16:54Z,ORD-900194,taker,1.40
FIL-500199,ACC-1001,MES,SELL,10,5612.25,2026-08-21T14:17:24Z,ORD-900004,taker,7.00
FIL-500200,ACC-1012,MES,SELL,3,5611.75,2026-08-21T14:20:20Z,ORD-900462,taker,2.10
FIL-500201,ACC-1006,MES,BUY,2,5609.75,2026-08-21T14:22:12Z,ORD-900073,maker,1.40
FIL-500202,ACC-1015,MNQ,BUY,4,19700.75,2026-08-21T14:23:15Z,ORD-900177,maker,2.80
FIL-500203,ACC-1009,GC,BUY,4,2478.00,2026-08-21T14:26:32Z,ORD-900126,taker,8.40
FIL-500204,ACC-1017,MCL,BUY,4,73.41,2026-08-21T14:27:19Z,ORD-900219,maker,2.80
FIL-500205,ACC-1004,MES,BUY,4,5611.25,2026-08-21T14:27:47Z,ORD-900047,taker,2.80
FIL-500206,ACC-1016,MES,SELL,5,5610.00,2026-08-21T14:27:54Z,ORD-900200,taker,3.50
FIL-500207,ACC-1007,MES,SELL,3,5609.25,2026-08-21T14:31:23Z,ORD-900094,taker,2.10
FIL-500208,ACC-1004,MES,SELL,4,5611.00,2026-08-21T14:43:47Z,ORD-900048,maker,2.80
FIL-500209,ACC-1001,MCL,BUY,4,73.39,2026-08-21T15:01:28Z,ORD-900001,taker,2.80
FIL-500210,ACC-1006,MES,SELL,2,5610.50,2026-08-21T15:02:12Z,ORD-900074,taker,1.40
FIL-500211,ACC-1015,MNQ,SELL,4,19700.00,2026-08-21T15:07:15Z,ORD-900178,taker,2.80
FIL-500212,ACC-1017,MCL,SELL,4,73.42,2026-08-21T15:16:19Z,ORD-900220,taker,2.80
FIL-500213,ACC-1004,MES,SELL,6,5609.00,2026-08-21T15:34:38Z,ORD-900045,maker,4.20
FIL-500214,ACC-1012,MES,BUY,3,5610.75,2026-08-21T15:42:06Z,ORD-900465,taker,2.10
FIL-500215,ACC-1004,MES,BUY,6,5610.00,2026-08-21T15:53:38Z,ORD-900046,maker,4.20
FIL-500216,ACC-1001,MCL,SELL,4,73.47,2026-08-21T15:56:28Z,ORD-900002,maker,2.80
FIL-500217,ACC-1011,MCL,SELL,2,73.42,2026-08-21T15:58:52Z,ORD-900129,taker,1.40
FIL-500218,ACC-1004,MES,BUY,10,5609.75,2026-08-21T16:01:34Z,ORD-900049,taker,7.00
FIL-500219,ACC-1011,MCL,BUY,2,73.37,2026-08-21T16:09:52Z,ORD-900130,taker,1.40
FIL-500220,ACC-1003,MNQ,SELL,10,19701.50,2026-08-21T16:11:05Z,ORD-900033,taker,7.00
FIL-500221,ACC-1012,MES,SELL,3,5610.00,2026-08-21T16:14:06Z,ORD-900466,taker,2.10
FIL-500222,ACC-1003,MNQ,BUY,4,19699.00,2026-08-21T16:17:55Z,ORD-900039,taker,2.80
FIL-500223,ACC-1015,MNQ,SELL,4,19699.00,2026-08-21T16:24:13Z,ORD-900179,taker,2.80
FIL-500224,ACC-1015,MNQ,SELL,4,19699.00,2026-08-21T16:24:17Z,ORD-900179,taker,2.80
FIL-500225,ACC-1004,MES,SELL,10,5611.00,2026-08-21T16:40:34Z,ORD-900050,taker,7.00
FIL-500226,ACC-1006,ES,BUY,2,5608.25,2026-08-21T16:41:04Z,ORD-900083,taker,4.20
FIL-500227,ACC-1006,MES,SELL,3,5609.25,2026-08-21T16:44:54Z,ORD-900085,taker,2.10
FIL-500228,ACC-1003,MNQ,BUY,10,19702.50,2026-08-21T16:53:05Z,ORD-900034,taker,7.00
FIL-500229,ACC-1001,MES,SELL,3,5611.00,2026-08-21T16:56:25Z,ORD-900005,maker,2.10
FIL-500230,ACC-1001,MES,BUY,3,5610.25,2026-08-21T17:01:25Z,ORD-900006,taker,2.10
FIL-500231,ACC-1016,MES,BUY,6,5609.25,2026-08-21T17:01:31Z,ORD-900195,taker,4.20
FIL-500232,ACC-1016,MES,SELL,6,5609.50,2026-08-21T17:05:31Z,ORD-900196,taker,4.20
FIL-500233,ACC-1003,MNQ,SELL,4,19698.50,2026-08-21T17:07:55Z,ORD-900040,taker,2.80
FIL-500234,ACC-1015,MNQ,BUY,8,19699.75,2026-08-21T17:08:13Z,ORD-900180,taker,5.60
FIL-500235,ACC-1003,NQ,BUY,1,19699.75,2026-08-21T17:08:29Z,ORD-900025,taker,2.10
FIL-500236,ACC-1003,NQ,SELL,1,19700.25,2026-08-21T17:14:29Z,ORD-900026,taker,2.10
FIL-500237,ACC-1006,ES,SELL,2,5608.50,2026-08-21T17:18:04Z,ORD-900084,taker,4.20
FIL-500238,ACC-1017,MES,SELL,5,5609.75,2026-08-21T17:18:45Z,ORD-900217,taker,3.50
FIL-500239,ACC-1017,MES,SELL,5,5609.75,2026-08-21T17:18:46Z,ORD-900217,taker,3.50
FIL-500240,ACC-1001,MES,SELL,4,5611.25,2026-08-21T17:27:44Z,ORD-900015,taker,2.80
FIL-500241,ACC-1001,MES,SELL,4,5611.25,2026-08-21T17:27:47Z,ORD-900015,taker,2.80
FIL-500242,ACC-1017,MES,BUY,5,5608.75,2026-08-21T17:27:59Z,ORD-900213,maker,3.50
